"plot";"subplot";"Group";"Plant";"indv";"seeds";"fruits";"vis"
3;"F3";NA;"SOAS";1;495;9;0
3;"F4";"Bee";"PUPA";1;1260;20;2
3;"F4";"Beetle";"LEMA";60;608;16;3
3;"F4";"Fly";"CHFU";1;544;17;2
3;"F4";"Fly";"LEMA";60;608;16;1
3;"F4";NA;"CETE";9;1887;17;0
3;"F4";NA;"SCLA";1;31;1;0
3;"F5";"Beetle";"LEMA";83;145,5;3;2
3;"F5";"Fly";"LEMA";83;145,5;3;2
3;"F5";NA;"BEMA";6;560;140;0
3;"F5";NA;"PUPA";6;322;14;0
3;"F6";"Bee";"PUPA";2;896;7;1
3;"F6";"Beetle";"LEMA";57;648;8;4
3;"F6";"Fly";"CHFU";2;256;8;1
3;"F6";"Fly";"CHMI";3;41;41;4
3;"F6";"Fly";"LEMA";57;648;8;3
3;"F6";"Fly";"PUPA";2;896;7;3
3;"F6";NA;"BEMA";4;100;25;0
3;"F6";NA;"CETE";2;610,5;5,5;0
5;"A1";NA;"BEMA";2;28;7;0
5;"A1";NA;"LEMA";2;58;1;0
5;"A2";NA;"BEMA";8;88;22;0
5;"A3";NA;"BEMA";10;88;22;0
5;"A4";NA;"BEMA";5;76;19;0
5;"A4";NA;"CETE";1;555;5;0
